ID,Li,Be,B,O,Na,Mg,Al,Si,P,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Tl,Pb,Bi,Th,U,YoungModulusGPa
464899_39663,0.051785415899451,0,0,0.617085238255508,0.000502001421814,0.042075642073653,0.053040403714632,0.233793925516449,0,0,0.001717373118494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.4000015258789
489847_42411,0.099378878092914,0,0,0.590062083312259,0.024844719523229,0.006211179880807,0.0745341561855,0.20341618803509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001552794970202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.4000015258789
307624_26397,0.13636360168457,0,0.318181800842285,0.545454597473144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.4000015258789
33046_2416,0,0,0,0.627556806827133,0,0,0.117613602806221,0.107670498921113,0.059090910521421,0,0.088068180924112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.4000015258789
499128_43002,0.006471856923156,0,0,0.598712204736314,0.071190429730997,0.051774850616878,0.071190429730997,0.197424300098104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003235928163555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.4000015258789
78764_13579,0,0,0,0.552249357277834,0.171484987266039,0,0,0.162494681311372,0.018262588342528,0,0.094803266575874,0,0,0,0,0,0.000705119226353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.4000015258789
499290_43007,0,0,0,0.63492060706729,0,0.011111110289892,0.095238092967442,0.221904789611271,0,0,0.015873019468217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000317460293997,0,0,0,0.020634920301892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.4000015258789
471633_39902,0.079601990832618,0,0,0.58955220779821,0.02611939974018,0,0.06716417961601,0.203047299820801,0,0.02611939974018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008395522452001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.4000015258789
495712_42461,0.023695657864925,0,0.011847828932463,0.613803970198394,0.030853717403328,0.023417978919175,0.088920424485497,0.203017486644569,0,0,0.002961956637069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001480978914581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.4000015258789
498766_42995,0,0,0.0105930895802,0.635045976642904,0,0.015509039657066,0.084934984195891,0.222010793222015,0,0,0.016492228957184,0,0,0,0,0,6.34316466115134E-05,0,0,0,0,0,0,0,0,0,0.00377418381856,0,3.17158279623694E-05,0,0,0,0,0,0,0,0,0.000253726586446,0,0,0,0.01129082986516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.4000015258789
496942_42671,0.067698941796512,0,0,0.589215009811839,0.066242371364221,0.001298248893841,0.053576524310619,0.212342863554876,0,0.000696621444897,0.002279851730551,0,0,0,0,0,6.33292235333486E-05,0,0,0,0,0,0,0,0,0,0,0,0.006586237869111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.4000015258789
471640_39902,0.07925696849823,0,0,0.588235282897949,0.032817339897156,0,0.071207427978516,0.200928802490234,0,0.021052629947662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006501548290253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.4000015258789
498834_42996,0,0,0,0.635968743996044,0,0.019529081612246,0.074785284904607,0.233957114545834,0,0,0.017700271521298,0,0,0,0,0,0.000130629305515,0,0,0,0,0,0,0,0,0,0.004572026419464,0,6.53146527576064E-05,0,0,0,0,0,0,0,0,0.000457202634496,0,0,0,0.01283433040774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.4000015258789
499017_42997,0,0,0.007802008142649,0.636087522290344,0,0.015028460696632,0.080514167564962,0.227665110260238,0,0,0.017618470978414,0,0,0,0,0,6.39508832852969E-05,0,0,0,0,0,0,0,0,0,0.004252734076077,0,6.39508832852969E-05,0,0,0,0,0,0,0,0,0.000255803514515,0,0,0,0.010647820709599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.4000015258789
78800_13579,0,0,0.025282540833716,0.527738620008894,0.164199107636672,0,0,0.155542605691224,0.017519150135309,0,0.090756074837271,0,0.018961900856915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.4000015258789
