,mean_absolute_error,mean_absolute_error,r2_score,RRMSE,RMSE,range,alg
107,11.941055433188714,289.3456163912103,0.5137404730841029,0.6973231151452655,17.010162150644252,475,RF
108,12.75258352178083,336.43141049070556,0.5618737656723956,0.6619110471412336,18.342066690825916,475,RF
109,8.625034514468112,141.5389923198217,0.6863712964711557,0.5600256275643503,11.897016109925282,475,RF
110,12.5221812642842,305.03127085453065,0.4805414083078924,0.7207347582100558,17.465144455587268,475,RF
111,12.088271667500404,210.7092506777646,0.7215844964262774,0.5276509296625209,14.515827591899974,475,RF
112,12.836098422285213,352.3789140036194,0.4510414691596526,0.7409173576319746,18.771758415332844,475,RF
113,11.115623085873658,237.67687140980115,0.6119354381336333,0.6229482818552169,15.416772405721023,475,RF
114,12.800948257788951,355.5925667306393,0.4791198010029799,0.7217203052409016,18.85716221308602,475,RF
115,14.16981190911061,396.95998876062356,0.5357390115702274,0.6813669998097741,19.923854766601355,475,RF
116,11.009181347397291,302.84023879791425,0.5979103677373168,0.6341053794620286,17.40230555983644,475,RF
117,12.145963741353821,272.2498517469411,0.5647439806461789,0.6597393571356956,16.499995507482453,475,RF
118,13.70105887100713,464.99533434811553,0.4084484844444025,0.769123862297613,21.56375047036381,475,RF
119,11.498465235258392,203.19791765998673,0.6359695781826791,0.6033493364687831,14.254750704939976,475,RF
120,13.050175421038492,291.0949327527435,0.5660103192055653,0.658778931656466,17.061504410594733,475,RF
121,16.091960284321853,551.1539700152415,0.2321648677545265,0.8762620225968221,23.47666863111633,475,RF
122,9.50169525711409,196.11638175398662,0.6388228477222229,0.6009801596373854,14.004155874381954,475,RF
123,14.164723048256167,496.20527612627046,0.4196427275088722,0.7618118353577397,22.275665559670053,475,RF
124,12.87990799539334,282.6282166348047,0.6465095101974907,0.5945506620991262,16.811550096133452,475,RF
125,10.06133258996689,166.06719058499104,0.7203017817948087,0.5288650283438973,12.886705963317043,475,RF
126,11.389746027087273,241.0525062878503,0.6302749507311871,0.6080502029181578,15.525865717822317,475,RF
127,10.956633359560835,177.94587531651288,0.5599956970181887,0.6633282015577291,13.3396355016362,475,RF
128,13.376363917928327,400.81177374246636,0.4981421322771671,0.7084192739634015,20.020284057486954,475,RF
129,14.743346223604663,448.19116933125696,0.4362076825812572,0.7508610506736535,21.170525957832435,475,RF
130,13.553677763598616,347.73207766924315,0.48735735543604664,0.7159906735174372,18.647575651254055,475,RF
131,13.450005727087467,368.4104561343586,0.49969386207237565,0.707323220266113,19.194021364330055,475,RF
